No,ID,Depth_m,qc_MPa,fs_kPa,u_kPa,Other,qt_MPa,Rf_p,SBT,Ic,gamma_kNm3,sv_kPa,u0_kPa,du_kPa,slv0_kPa,Qt1,Fr_p,Bq,SBTn,n,Cn,Icn,Qtn,U2,IB,MSBTn,KG,EST
130,2,14.38,0.76,23,407,0,1.57,1.34,4,2.65,19,273.22,136.16,270.84,137.06,9.48,1.62,0.03,4,1,0.73,2.87,9.48,0.28,22.82,1,189.9475859,0
131,2,14.4,0.93,19,347,0,1.51,1.44,4,2.68,19,273.6,136.36,210.64,137.24,9.03,1.76,0.03,4,1,0.73,2.91,9.03,0.25,22.15,1,192.6607905,0
132,2,14.57,1.16,27,60,0,1.27,1.62,4,2.77,19,276.83,138.03,-78.03,138.8,7.16,2.07,0.13,3,1,0.72,3.03,7.16,0.93,20.23,2,188.4570081,0
133,2,14.7,0.76,20,407,0,1.14,1.6,4,2.81,19,279.3,139.3,267.7,140,6.17,2.12,0.22,3,1,0.71,3.09,6.17,1.33,19.47,2,181.8617636,0
134,2,14.76,0.95,8,279,0,1.19,1.45,4,2.77,19,280.44,139.89,139.11,140.55,6.47,1.9,0.2,3,1,0.71,3.05,6.47,1.32,20.01,1,179.1454308,0
135,2,14.97,1.87,10,164,0,1.26,1.25,4,2.71,19,284.43,141.95,22.05,142.48,6.88,1.61,0.19,3,1,0.7,2.99,6.88,1.29,20.82,1,173.8676779,0
136,2,15.03,1.08,26,293,0,1.25,1.32,4,2.73,19,285.57,142.54,150.46,143.03,6.76,1.71,0.2,3,1,0.7,3.01,6.76,1.36,20.55,1,175.98982,0
137,2,15.07,0.98,31,315,0,1.28,1.34,4,2.73,19,286.33,142.93,172.07,143.4,6.91,1.73,0.2,3,1,0.7,3.01,6.91,1.38,20.64,1,178.9105953,0
138,2,15.29,1.13,14,396,0,1.35,1.34,4,2.71,19,290.51,145.09,250.91,145.42,7.28,1.71,0.17,3,1,0.69,2.99,7.28,1.23,20.96,1,181.3953123,0
139,2,15.88,1.1,11,369,0,1.4,1.44,4,2.71,19,301.72,150.88,218.12,150.84,7.3,1.84,0.15,3,1,0.66,3,7.3,1.13,20.73,1,184.0855377,0
140,2,15.92,1.08,13,142,0,1.43,1.44,4,2.7,19,302.48,151.27,-9.27,151.21,7.43,1.83,0.15,3,1,0.66,2.99,7.43,1.12,20.86,1,184.1913095,0
141,2,16.61,0.81,16,515,0,1.12,1.14,4,2.74,19,315.59,158.04,356.96,157.55,5.09,1.58,0.36,3,1,0.63,3.11,5.09,1.81,19.33,1,161.4603398,0
142,2,16.82,0.9,21,478,0,1.13,1.29,4,2.76,19,319.58,160.1,317.9,159.48,5.08,1.8,0.37,3,1,0.63,3.13,5.08,1.88,19.05,1,165.3580375,0
143,2,17.22,6.54,18,102,0,5.65,0.42,6,1.92,19,327.18,164.02,-62.02,163.16,32.62,0.45,0.03,5,0.73,0.7,2.09,37.27,0.93,54.52,6,197.4908913,0
144,2,17.41,9.21,42,168,0,9.13,0.41,6,1.73,19,330.79,165.89,2.11,164.9,53.36,0.42,0,6,0.64,0.72,1.87,63.77,0.12,76.19,7,223.6092876,0
145,2,17.56,8.87,38,169,0,9.46,0.5,6,1.76,19,333.64,167.36,1.64,166.28,54.91,0.52,0,6,0.66,0.72,1.9,65.35,0.06,72.38,7,236.5711163,0
